symbol,log2fold_change,p_value,-log10(p_value),regulation
MIR3065,0.010026169,0.939934564,0.02690237989275742,Not significant
MIR1250,-0.112457939,0.712228915,0.14738039885885285,Not significant
AATK-AS1,0.161187002,0.585187259,0.23270513812811933,Not significant
CEP131,0.224747472,0.209895438,0.6779970005455518,Not significant
ENTHD2,0.12273155,0.51454038,0.2885805370861235,Not significant
C17orf89,0.629172034,0.002126424,2.6723501346854173,Not significant
SLC38A10,0.091092917,0.588968043,0.22990826909282538,Not significant
LINC00482,-0.198773717,0.511530035,0.29112886116626935,Not significant
TMEM105,-0.052893048,0.867554849,0.06170305847942602,Not significant
LOC100130370,-0.192028141,0.540995639,0.26680623575455664,Not significant
BAHCC1,-0.074529014,0.709824009,0.14884931521683734,Not significant
MIR4740,0.443648753,0.152098412,0.8178753202220672,Not significant
MIR3186,-0.336843634,0.283007245,0.5482024463723661,Not significant
ACTG1,0.215395611,0.061227903,1.2130506145006374,Not significant
FSCN2,-0.234142581,0.390452893,0.40843135498572575,Not significant
FAAP100,-0.151059171,0.448545155,0.34819383003304366,Not significant
NPLOC4,0.11752493,0.520128791,0.28388910579763915,Not significant
TSPAN10,0.155817707,0.554809704,0.2558559514257249,Not significant
PDE6G,0.266497271,0.376656489,0.42405454618541827,Not significant
OXLD1,0.075077052,0.681785693,0.1663521165074584,Not significant
CCDC137,0.238845514,0.163115482,0.7875048162247844,Not significant
ARL16,0.32810352,0.126714988,0.8971720132087349,Not significant
HGS,0.216433069,0.207392133,0.6832077217150063,Not significant
MRPL12,0.379654936,0.098226778,1.007770101293451,Not significant
SLC25A10,0.154711651,0.494986526,0.30540662281086084,Not significant
GCGR,0.358676275,0.234283482,0.6302583299652812,Not significant
FAM195B,0.36098622,0.061785261,1.2091151143901775,Not significant
PPP1R27,-0.535225968,0.087811332,1.0564494350335127,Not significant
P4HB,0.086694643,0.583001476,0.23433034572495876,Not significant
ARHGDIA,0.393889655,0.038409098,1.4155658916950784,Not significant
ALYREF,0.318989522,0.042833032,1.3682211823332255,Not significant
ANAPC11,0.432446359,0.037716127,1.4234729105499626,Not significant
NPB,0.020580055,0.946348016,0.02394912402721917,Not significant
PCYT2,0.036591794,0.837347898,0.07709406555495842,Not significant
SIRT7,0.053495399,0.737416099,0.13228738526727218,Not significant
MAFG,0.032983974,0.83428941,0.07868326907080218,Not significant
MAFG-AS1,0.057411774,0.817114676,0.08771698917249135,Not significant
PYCR1,-0.061304716,0.743250146,0.12886499681257982,Not significant
MYADML2,0.345352646,0.243655231,0.6132242603752446,Not significant
NOTUM,0.36896427,0.236233452,0.6266586037998324,Not significant
ASPSCR1,0.136504561,0.479905696,0.31884409539642117,Not significant
