Genes,Sensitive,Resistant
ZNF236-DT,2.976,2.022333333
ZNF236,4.058333333,4.579
MBP,7.198666667,5.164333333
LOC105372217,0.270033333,0.130033333
SALL3,0.003249,0.018543333
ATP9B,1.739,2.145666667
LOC105372226,0.039293333,0.011023333
NFATC1,1.941333333,1.603333333
LOC101927897,0.093486667,0.076153333
LOC102723506,0.032103333,0.01652
CTDP1-DT,0.114003333,0.10684
CTDP1,11.16666667,9.872
KCNG2,2.487666667,2.250333333
SLC66A2,9.927333333,9.139
HSBP1L1,31.90333333,27.55
TXNL4A,29.12333333,24.72
RBFA,8.499,7.745333333
RBFADN,0.664233333,1.303666667
ADNP2,23.65666667,23.13
PARD6G-AS1,1.360333333,0.983166667
PARD6G,3.144666667,3.22
WASH5P,17.48666667,18.81
LINC01002,3.932333333,4.641
LOC101928344,3.232333333,3.857
LOC107985295,0.3201,0.5447
PLPP2,151.1666667,90.98666667
MIER2,12.89333333,13.24333333
C2CD4C,1.447,1.395
SHC2,0.259233333,0.716633333
CIMAP1D,2.505,3.120666667
MADCAM1,0.372833333,0.645066667
MADCAM1-AS1,2.720666667,3.540666667
TPGS1,27.18333333,29.02333333
CDC34,75.5,81.53666667
GZMM,0.502333333,0.3863
BSG-AS1,9.265333333,16.97
BSG,552.5,1048.6
HCN2,0.877566667,2.583666667
LOC107987266,1.080333333,1.776333333
POLRMT,56.34,46.18
LOC105372234,4.455,3.148666667
FGF22,0.1785,0.141846667
RNF126,54.33,46.36
FSTL3,73.44666667,159.9666667
PRSS57,0.188,0.309166667
PALM,5.618666667,32.58
MISP,49.19,13.27666667
LOC101928450,0.2697,0.9981
LINC01836,0.7233,2.442666667
PTBP1,254.9,158.6
MIR4745,5.204,3.055666667
PLPPR3,43.59,27.54666667
MIR3187,2.811333333,0.9398
AZU1,0.4196,0.2217
ELANE,0.0535,0.371266667
CFD,9.369666667,9.064666667
MED16,45.79,42.87333333
R3HDM4,67.50333333,64.76666667
ARID3A,1.106066667,0.4747
WDR18,67.85,51.82
GRIN3B,2.557666667,2.104666667
LOC105372235,1.318333333,0.137866667
TMEM259,144.6333333,161.8666667
RNU6-2,2.506,2.505466667
CNN2,173.3333333,214.8666667
ABCA7,15.18333333,16.85666667
ARHGAP45,19.00666667,26.04333333
POLR2E,150.3,125.9333333
GPX4,602.8333333,751.1
SBNO2,70.1,91.14333333
LOC102723798,1.241,1.201666667
LOC102725180,2.133333333,2.706666667
STK11,50.17,55.83
CBARP,1.0453,1.170433333
ATP5F1D,204.4,192.1
LOC102723811,0.442833333,0.271266667
MIDN,59.77666667,65.10666667
LOC107985303,1.726666667,1.673333333
LOC105372236,1.363966667,1.138866667
CIRBP-AS1,6.078666667,6.768
CIRBP,66.62333333,108.2666667
FAM174C,119.9,95.03666667
EFNA2,0.574133333,0.926433333
PWWP3A,14.51666667,12.68333333
TRF-GAA1-6,0.982,2.391866667
NDUFS7,51.39,40.35333333
GAMT,14.87333333,25.38333333
DAZAP1,82.78333333,49.39333333
RPS15,1451.333333,1573.333333
APC2,4.469,5.974
C19orf25,28.62666667,27.67666667
PCSK4,3.239333333,6.991333333
REEP6,36.79,55.78333333
ADAMTSL5,7.947333333,10.86333333
LOC107985337,18.55,21.5
PLK5,18.52,24.46333333
MEX3D,40.46666667,54.52
MBD3,69.91,60.31333333
UQCR11,140.1333333,177.2666667
TCF3,67.72333333,67.77333333
ATP8B3,9.460666667,7.898333333
REXO1,30.67,28.15666667
MIR1909,84.25333333,81.62333333
LOC100288123,8.385666667,8.054666667
KLF16,42.49666667,39.87333333
ABHD17A,36.75,39.74333333
SCAMP4,111.7333333,133.9666667
ADAT3,15.13,11.569
LOC105372238,0.21313,0.469866667
CSNK1G2,70.17333333,75.38666667
CSNK1G2-AS1,0.400033333,0.558
BTBD2,154.2666667,172.7
LOC107985278,13.10266667,10.27533333
MKNK2,66.19,113.9566667
MOB3A,38.04,48.24
IZUMO4,1.812666667,5.675333333
AP3D1,135.7,142.7333333
DOT1L,22.47,16.27333333
PLEKHJ1,42.81,28.6
MIR1227,4.064,4.725
MIR6789,87.63333333,58.28333333
SF3A2,179.4,155.1
AMH,45.59666667,32.67666667
MIR4321,88.15666667,68.01
JSRP1,5.757,19.63666667
LOC105372240,0.371533333,0.7697
OAZ1,1037.666667,940.2333333
PEAK3,0.133566667,0.207833333
LOC101928572,0.088386667,0.020593333
LSM7,198.1,167.7
