Genes,Sensitive,Resistant
DDX11L1,0.08671,0.072916667
WASH7P,30.90666667,35.13333333
MIR6859-1,28.96333333,37.70333333
WASH9P,1.719,2.955333333
LOC729737,19.76333333,24.55
DDX11L17,0.078123333,0.052776667
LOC102723897,24.92333333,28.20666667
MIR6859-2,10.81,17.08666667
LOC112268260,0.6147,0.975966667
LOC100132287,9.341,11.50066667
LOC105378947,0.14345,0.236033333
MIR12136,679.0666667,861.5
OR4F16,0.168133333,0.119743333
LOC100288069,6.016,7.509666667
LINC01409,0.2572,0.338066667
FAM87B,0.478233333,0.5456
LINC00115,1.846333333,1.359666667
LINC01128,3.134,2.739333333
LOC107984850,0.0293,0.056456667
FAM41C,0.188933333,0.3094
LOC284600,2.026333333,2.667
LINC02593,3.472333333,2.968666667
LOC107985728,1.942666667,1.705
SAMD11,16.94,10.56233333
NOC2L,153,88.59
KLHL17,16.99333333,17.37
PLEKHN1,9.519,6.851333333
PERM1,1.679333333,0.874266667
HES4,19.16,21.03
ISG15,234.4666667,137.2333333
AGRN,109.4266667,181.9666667
LOC100288175,14.31333333,13.74333333
LOC105378948,3.256333333,3.85
RNF223,4.387,1.667666667
C1orf159,15.39666667,12.51333333
TTLL10,0.04128,0.036803333
TNFRSF18,4.918666667,3.141
TNFRSF4,0.165833333,0.162666667
SDF4,77.36666667,94.57333333
B3GALT6,22.45333333,21.78
C1QTNF12,2.587666667,2.178333333
UBE2J2,18.03666667,15.77666667
LINC01786,2.065666667,3.424666667
SCNN1D,3.236333333,5.468
ACAP3,18.39666667,20.89
MIR6726,1.160566667,1.4235
SNORD167,9.766666667,7.993
PUSL1,32.60333333,23.07333333
INTS11,62.69333333,58.50666667
MIR6727,10.50433333,7.817333333
CPTP,16.84666667,13.87
TAS1R3,1.950666667,0.543866667
DVL1,81.75666667,59.48333333
MIR6808,7.891333333,9.93
MXRA8,9.459666667,4.732333333
AURKAIP1,128.3666667,81.53666667
CCNL2,34,55.16
MRPL20-AS1,22.93,19.21333333
MRPL20,117.5,69.51333333
ANKRD65,2.2657,0.395166667
ANKRD65-AS1,0.46748,0.151166667
TMEM88B,0.1077,0.10457
LINC01770,4.038,4.544
LOC107985729,2.464733333,2.327
VWA1,44.43666667,40.96
ATAD3C,2.246,1.228333333
ATAD3B,26.54,12.38333333
ATAD3A,67.22333333,31.21666667
TMEM240,0.16895,0.138243333
SSU72,172.8,130.0666667
FNDC10,9.151333333,9.964666667
LOC105378586,2.331,3.112666667
MIB2,6.647,12.28666667
MMP23B,1.157333333,2.408666667
CDK11B,26.24333333,20.81
SLC35E2B,13.37666667,25.96333333
MMP23A,1.61,6.053666667
CDK11A,22.05,19.59666667
SLC35E2A,8.35,16.58666667
LOC112268218,3.478,4.618
NADK,23.78333333,26.77666667
GNB1,171.4333333,180.7666667
GNB1-DT,0.160486667,0.3429
CALML6,0.420366667,0.339633333
TMEM52,4.927333333,3.525666667
CFAP74,0.160266667,0.181366667
LOC107984872,0.071153333,0.065923333
LOC105378589,0.022573333,0.010466667
GABRD,0.823566667,0.498766667
PRKCZ,4.414333333,4.292666667
PRKCZ-AS1,2.501666667,2.697333333
FAAP20,6.389,5.721666667
LOC112268219,2.293333333,3.095333333
LOC105378593,0.5586,0.7845
SKI,12.13,13.77666667
MORN1,2.49,2.6
LOC100129534,3.225666667,3.708333333
RER1,61.13333333,54.19
PEX10,24.83,26.33666667
PLCH2,0.4307,0.333166667
PANK4,8.613,6.816
TNFRSF14-AS1,0.534933333,0.479966667
TNFRSF14,2.927333333,3.280333333
LOC100996583,0.10223,0.377826667
PRXL2B,14.93,10.43433333
MMEL1,1.636666667,1.338
MMEL1-AS1,0.034653333,0.130553333
TTC34,0.209766667,0.480566667
PRDM16-DT,0.15715,0.06177
PRDM16,1.207333333,1.143266667
LOC107984909,1.092666667,1.200666667
LOC105378605,0.032723333,0.009766667
LOC105378604,0.095566667,0.065156667
ARHGEF16,11.32333333,5.205
MEGF6,24.26,67.06
LOC105378608,0.02947,0.295666667
TPRG1L,17.31666667,23.05
WRAP73,27.6,22.82666667
TP73,0.704966667,0.239166667
TP73-AS3,0.016816667,0.086866667
GFOD3P,6.401666667,9.101333333
CCDC27,0.048806667,0.08478
SMIM1,0.747333333,1.412666667
LRRC47,33.32,26.72
CEP104,13.8,12.72
DFFB,3.605333333,3.028
C1orf174,13.17,9.376
LINC01134,0.241066667,0.357
NPHP4,7.667,8.112
KCNAB2,6.965666667,16.14333333
CHD5,0.2061,0.252433333
RPL22,226.5,326.6333333
RNF207-AS1,2.076666667,3.26
RNF207,9.883666667,10.54233333
ICMT,54.15333333,36.86
ICMT-DT,2.084666667,0.919433333
GPR153,3.116333333,1.952
ACOT7,67.12333333,40.18333333
HES2,3.321,2.112
ESPN,3.270666667,2.651
TNFRSF25,9.136666667,9.164666667
PLEKHG5,7.571666667,9.172
NOL9,8.219,6.517666667
TAS1R1,0.025573333,0.036966667
ZBTB48,7.925333333,10.657
KLHL21,31.03666667,33.45
LOC107984913,0.045676667,0.15671
PHF13,11.44,11.22666667
THAP3,15.78666667,13.44333333
DNAJC11,60.71,42.89666667
CAMTA1-DT,0.874666667,1.097366667
CAMTA1,1.413333333,1.530666667
LOC105376689,0.162066667,0.437966667
VAMP3,83.70333333,86.38333333
PER3,4.227,3.811333333
UTS2,0.1901,0.130543333
TNFRSF9,1.0617,1.687
PARK7,194.3333333,150.6666667
ERRFI1,67.80666667,82.48
LOC107984915,0.098896667,0.21862
LINC01714,0,0.174173333
SLC45A1,0.9934,1.884
RERE,16.24,23.82666667
RERE-AS1,0.230833333,0.144
ENO1,2119.666667,1365.666667
MIR6728,16.15333333,3.015
ENO1-AS1,2.531333333,2.108333333
CA6,0.16736,0.13882
SLC2A7,0.008833333,0.082593333
SLC2A5,0.759933333,0.841666667
GPR157,4.832333333,5.056333333
MIR34AHG,2.767,2.924
MIR34A,0.656533333,0.935466667
LNCTAM34A,0.6324,0.1748
H6PD,8.867666667,24.43666667
SPSB1,17.29666667,13.33
LINC02606,0.325166667,0.366933333
SLC25A33,6.869,7.564666667
TMEM201,10.432,7.572666667
PIK3CD,2.869666667,2.614666667
PIK3CD-AS2,0.6003,1.3191
CLSTN1,83.04333333,94.92
CTNNBIP1,10.01566667,3.540666667
LOC105376717,8.294333333,2.753333333
LZIC,13.91666667,10.79
NMNAT1,4.729666667,5.085666667
RBP7,0.723666667,0.401633333
UBE4B,23.36,24.97666667
KIF1B,13.77666667,16.91
PGD,77.72,46.78666667
CENPS-CORT,8.059333333,5.018
CENPS,11.3,6.524666667
CORT,1.261,1.319
DFFA,38.43,33.13333333
PEX14,6.372333333,6.669666667
CASZ1,2.700333333,4.974
C1orf127,0.05577,0.15434
TARDBP,96.63,67.99333333
MASP2,0.580133333,1.361333333
SRM,262.4666667,142.2333333
EXOSC10,57.73666667,45.74333333
EXOSC10-AS1,12.48,8.762
MTOR,30.89666667,23.95333333
MTOR-AS1,6.177666667,5.34
ANGPTL7,0.028736667,0.04836
UBIAD1,6.266,6.601666667
DISP3,0.160366667,0.788966667
LINC01647,0.1672,0.02638
FBXO2,28.77,49.80666667
FBXO44,11.15633333,13.87666667
FBXO6,6.444333333,6.971
MAD2L2,27.83333333,21.39333333
DRAXIN,0.287933333,0.2042
AGTRAP,48.16333333,32.38666667
C1orf167,0.9488,1.57
MTHFR,3.238,5.370666667
CLCN6,5.765666667,7.553666667
NPPA-AS1,4.807333333,5.498666667
NPPA,4.346333333,4.370333333
NPPB,0.1531,1.528733333
KIAA2013,67.59,54.24333333
PLOD1,176.3666667,262.2666667
MFN2,77.12,61.87
MIIP,28.38666667,21.7
MIR6729,4.145,3.197333333
TNFRSF8,0.10727,0.096676667
MIR7846,0.9401,0.167433333
TNFRSF1B,1.201233333,0.3528
VPS13D,8.732,9.003
SNORA59A,4.022,1.5815
LINC02766,0.012983333,0.02403
DHRS3,8.426666667,6.492333333
MIR6730,1.078066667,1.0299
PRAMEF1,0.06006,0.06905
PRDM2,6.772,7.047333333
KAZN,1.088566667,1.0698
KAZN-AS1,9.940333333,3.884
TMEM51-AS1,0.455466667,0.207733333
TMEM51,11.97,6.55
TMEM51-AS2,0.1613,0.152816667
FHAD1,0.625866667,0.232033333
FHAD1-AS1,0.1956,0.04396
EFHD2-AS1,0.1673,0.074573333
EFHD2,117.6333333,32.09
CELA2B,0.0971,0.5017
CASP9,3.142666667,5.781333333
DNAJC16,6.926,8.559666667
AGMAT,4.984,3.391
DDI2,10.98,10.513
RSC1A1,10.32733333,9.482
PLEKHM2,34.01333333,38.24333333
SLC25A34,0.3431,0.1314
FBLIM1,6.541,9.814666667
UQCRHL,20.75666667,16.98333333
SPEN-AS1,1.639,1.391333333
SPEN,20.97333333,17.15333333
ZBTB17,9.804666667,10.282
HSPB7,0.031826667,0.02534
CLCNKA,0.043156667,0.041313333
CLCNKB,0.2575,0.820966667
FAM131C,1.627333333,0.8865
EPHA2,65.83333333,31.50333333
EPHA2-AS1,1.342,0.9628
ARHGEF19,8.782666667,3.548333333
ANO7L1,0.349633333,0.397533333
CPLANE2,3.017,2.589333333
FBXO42,8.741666667,10.5
SZRD1,68.21333333,51.87
SPATA21,16.99,13.18666667
NECAP2,28.32666667,30.57666667
LINC01772,0.3869,0.637
CROCCP3,1.107433333,1.424333333
LINC01783,0.094203333,0.04481
NBPF1,16.9,23.86333333
CROCCP2,14.01666667,16.48333333
MST1P2,2.006,2.563666667
LOC107985736,0.071666667,0.07353
ESPNP,0.161063333,0.161633333
MST1L,0.257333333,0.211533333
LOC112267871,0.197463333,0.170776667
LOC105376805,4.064,4.95
CROCC,4.332,5.188333333
MFAP2,6.358,17.44666667
LOC105376806,4.947333333,13.84766667
ATP13A2,25.95333333,17.12666667
SDHB,183.4666667,108.1266667
PADI2,1.402833333,5.523
LINC02783,1.006,0.927
PADI1,2.683333333,1.2026
PADI3,3.665,1.320666667
MIR3972,2.057633333,0.406666667
PADI4,3.626,1.359866667
RCC2,124.2333333,93.92333333
ARHGEF10L,4.516,5.162666667
ACTL8,1.756666667,1.675666667
KLHDC7A,0.958933333,1.4867
ALDH4A1,13.64666667,29.22333333
IFFO2,26.17666667,49.63
LOC105376815,0.0392,0.2546
UBR4,31.10333333,36.62
EMC1-AS1,16.75,18.35666667
EMC1,42.07333333,47.82333333
MRTO4,76.01666667,44.96333333
AKR7L,0.652866667,0.558766667
AKR7A3,1.375666667,1.0996
LOC100506730,2.980333333,3.565666667
AKR7A2,40.67,30.02666667
SLC66A1,4.227333333,3.888333333
CAPZB,90.08333333,93.41666667
LOC105376819,0,0.079453333
MICOS10,16.5,14.48333333
MICOS10-NBL1,36.61666667,43.52666667
RPS14P3,2.359333333,2.646333333
NBL1,20.41,26.36666667
TMCO4,7.207,5.137
LOC105376823,0.073836667,0.070333333
OTUD3,5.429,8.024333333
PLA2G2D,0.046053333,0.09067
PLA2G2F,0.026173333,0.024673333
PLA2G2C,0.078893333,0.211966667
UBXN10,2.595333333,2.777
LOC105376825,0.083063333,0.089663333
LOC105376826,0.409473333,0.140883333
VWA5B1,0.002987333,0.05529
CAMK2N1,38.27333333,21.51666667
MUL1,28.54,21.02
CDA,134.5666667,128.2333333
PINK1,64.30333333,81.27666667
MIR6084,77.52,107.11
PINK1-AS,29.14666667,37.18333333
DDOST,271.8333333,335.8666667
KIF17,1.374333333,1.360333333
SH2D5,6.192333333,3.272666667
HP1BP3,32.10666667,29.52
EIF4G3,15.22333333,16.19
ECE1,56.99666667,66.68666667
ECE1-AS1,0.11815,0.099046667
NBPF3,8.01,9.727333333
ALPL,0.629333333,5.129666667
RAP1GAP,12.70666667,7.771
USP48,15.41666667,14.71
LDLRAD2,5.354333333,17.67333333
HSPG2,22.98666667,79.25
LINC01635,0.8178,1.072133333
LINC00339,8.442333333,8.178333333
CDC42-AS1,0.3645,0.292
CDC42,34.63,30.94666667
WNT4,0.073706667,0.044943333
LOC105376845,0.067283333,0.099533333
LOC105376850,0,0.033973333
ZBTB40,10.71,11.55666667
EPHA8,0.029081333,0.073796667
EPHB2,14.83,12.33666667
MIR4253,87.08,70.41
TEX46,0.346366667,0.2701
KDM1A,92.7,94.57
LUZP1,22.22333333,39.24
HTR1D,1.846666667,5.383666667
LINC01355,1.080333333,1.926333333
HNRNPR,65.09,46.55333333
ZNF436,9.670666667,17.95666667
ZNF436-AS1,1.831333333,3.125333333
TCEA3,3.554,3.743333333
ASAP3,9.799,16.18333333
E2F2,4.916,1.651333333
LOC101928163,0.737666667,0.292866667
LOC105376859,0.482433333,0.8181
ID3,125.1333333,187.6
LOC107984928,0.09703,0.2911
RPL11,1089.333333,1444.666667
ELOA,38.73333333,29.21333333
ELOA-AS1,11.78666667,14.12
PITHD1,44.14666667,30.48333333
LOC105376860,29.32666667,28.43
LYPLA2,54.81666667,53.48333333
GALE,79.68666667,37.28333333
HMGCL,24.23666667,30.37
FUCA1,7.313,8.059
PNRC2,51.92,46.07
SRSF10,30.30666667,21.8
LOC105376863,0.062,0.188203333
LOC107984931,0.253,0.049766667
MYOM3,0.387566667,0.1272
IL22RA1,1.571333333,0.542933333
IFNLR1,1.332,0.487366667
GRHL3-AS1,0.01706,0.0034
GRHL3,0.100466667,0.024523333
STPG1,4.119,3.204333333
NIPAL3,8.744333333,16.57666667
RCAN3AS,0.4404,0.394433333
RCAN3,5.847,5.021
NCMAP-DT,1.677333333,1.863
SRRM1,41.79666667,35.01
CLIC4,127.6666667,220.6
RUNX3,0.1458,0.017708333
RUNX3-AS1,0.7165,0.030186667
SYF2,36.23666667,40.99
RSRP1,10.391,14.07666667
LOC105376882,0,0.106883333
RHD,0.10169,0.14442
TMEM50A,28.71333333,33.14666667
RHCE,9.211,11.59666667
MACO1,11.14333333,13.12666667
LDLRAP1,12.70333333,8.509666667
MAN1C1,0.530333333,4.079333333
SELENON,91.14333333,118.3666667
MTFR1L,17.2,27.67
LOC646471,2.396,4.581
AUNIP,12.27,7.891666667
PAQR7,8.687,8.532333333
STMN1,100.1933333,81.65333333
MIR3917,126,111.4366667
PAFAH2,8.416333333,8.276666667
EXTL1,0.2052,0.293433333
TRIM63,0,0.121463333
PDIK1L,3.993,2.412
FAM110D,0.114983333,0.177766667
ZNF593,80.87333333,56.75666667
CNKSR1,21.72666667,25.33
ZPLD2P,0.1492,0.292386667
CEP85,38.25666667,15.57
SH3BGRL3,374.9333333,237.5333333
UBXN11,33.30333333,22.09
CRYBG2,5.054666667,0.9163
LIN28A,0.044263333,0.042156667
DHDDS,25.68333333,24.81666667
DHDDS-AS1,0.432766667,0.3464
HMGN2,371.2333333,211.3333333
RPS6KA1,30.43666667,19.29666667
LOC101928728,0.1943,0.572966667
ARID1A,32.20333333,30.73666667
PIGV,13.50666667,12.06333333
ZDHHC18,14.26,11.93666667
SFN,306.5333333,99.36
GPN2,12.84333333,10.235
GPATCH3,11.23666667,12
NUDC,126.4333333,72.27333333
NR0B2,0.089073333,0.07274
KDF1,7.095333333,0.425666667
TRNP1,15.78666667,11.68666667
TENT5B,10.92533333,17.39
LOC101928391,0.275733333,0.579533333
SLC9A1,20.99,17.27666667
WDTC1,16.84333333,25.76
TMEM222,21.14,24.25
ACTG1P20,0.9702,0.960566667
SYTL1,20.59666667,5.645333333
MAP3K6,16.84,15.56333333
CD164L2,2.794833333,0.4273
GPR3,2.751666667,0.334393333
WASF2,62.41666667,65.08666667
LOC105376892,0.13444,0.05551
AHDC1,15.32666667,17.90333333
FGR,0.020906667,0.07398
IFI6,50.15333333,65.66
FAM76A,2.594666667,1.965666667
STX12,23.96333333,29.04666667
PPP1R8,37.63,33.34
SCARNA1,0.429833333,0.424633333
THEMIS2,10.153,5.201666667
RPA2,56.14333333,34.91
SMPDL3B,3.929666667,12.26333333
XKR8,13.9,9.926333333
EYA3,11.96,10.34733333
PTAFR,2.004666667,0.5176
DNAJC8,123.2333333,87.25
ATP5IF1,56.26,41.46
SESN2,9.357666667,17.63
MED18,14.96,12.19666667
PHACTR4,25.46666667,26.83333333
RCC1,124.1,56.52333333
SNHG3,44.23666667,36.26333333
SNORA73A,31.68333333,19.82333333
SNORA73B,28.89333333,24.14333333
TRNAU1AP,20.83666667,16.28
SNHG12,16.82,16.37333333
SNORD99,32.03,29.46333333
SNORA61,35.94666667,30.17
SNORA44,9.105666667,11.49033333
SNORA16A,28.00333333,19.22333333
RAB42,1.807,2.185333333
TAF12,18.31666667,14.99
TAF12-DT,0.5961,0.739166667
GMEB1,4.851333333,5.399333333
YTHDF2,63.92,66.87666667
OPRD1,0.01534,0.070946667
EPB41,4.901666667,6.072333333
TMEM200B,8.369666667,1.870333333
SRSF4,56.99,48.77666667
MECR,18.26,16.53333333
PTPRU,10.20333333,6.779333333
LOC105378617,0.005476667,0.067396667
MATN1,0.417366667,0.515033333
MATN1-AS1,1.507,1.683
LAPTM5,2.825333333,1.144533333
LOC105378620,0.02423,0.009387667
LINC01778,0.692733333,2.138333333
LOC400748,0.006086667,0.036333333
SDC3,42.93666667,128.5366667
PUM1,44.2,59.09666667
SNORD103A,5.077333333,4.969
SNORD103B,3.664,4.843666667
SNORD103C,0.9585,0.643
LOC107984935,0.277466667,0.6978
NKAIN1,0.05237,0.178006667
SNRNP40,64.16333333,38.57666667
ZCCHC17,23.51333333,27.4
FABP3,0.355,0.470533333
SERINC2,26.61333333,15.67666667
LOC105378625,1.405266667,0.269033333
LOC105379772,25.91666667,5.459333333
LDC1P,0.042866667,0.11578
LINC01226,0.045486667,0.155466667
LOC105378626,2.288666667,0.578466667
TINAGL1,82.59333333,30.22333333
HCRTR1,3.787,2.974666667
PEF1,31.51,24.67333333
PEF1-AS1,3.126333333,2.401
COL16A1,1.778666667,2.838666667
LOC101929444,1.179333333,2.180333333
ADGRB2,6.613,4.480333333
SPOCD1,16.91,7.300666667
PTP4A2,67.17333333,60.67
KHDRBS1,143.3,127.2
TMEM39B,9.139666667,6.217
KPNA6,25.50333333,26.61
TXLNA,33.57333333,31.11
CCDC28B,1.866333333,2.227
TMEM234,3.730333333,5.132666667
IQCC,5.216666667,4.027
DCDC2B,1.873666667,2.197
EIF3I,332.2333333,233.8333333
MTMR9LP,6.423,7.409
FAM167B,2.185,1.94
LCK,1.677733333,0.029583333
HDAC1,130,81.75666667
MARCKSL1,200.6333333,249.8666667
LOC105378629,0.157533333,0.203733333
TSSK3,1.655333333,2.030666667
FAM229A,2.125333333,3.116
BSDC1,21.19,32.31
ZBTB8B,0.01275,0.027056667
ZBTB8A,3.608,5.069333333
LOC102723870,0.8773,1.804333333
ZBTB8OS,12.12,9.241666667
RBBP4,25.79333333,28.34333333
SYNC,6.829,8.801666667
NHSL3,53.62666667,46.32333333
YARS1,119.8,133.3
S100PBP,7.253666667,7.446333333
FNDC5,0.212966667,0.2442
LOC105378631,0.103746667,0.078253333
HPCA,0.937866667,0.7701
TMEM54,56.88666667,29.07666667
RNF19B,8.342666667,6.047666667
AK2,69.03333333,49.32666667
AZIN2,0.989733333,1.916666667
TRIM62,1.791,1.200866667
ZNF362,7.370333333,8.921333333
A3GALT2,0.262133333,0.253166667
PHC2,42.78333333,27.19333333
MIR3605,81.43666667,53.81
PHC2-AS1,0.4761,0.301833333
ZSCAN20,1.281666667,1.704666667
C1orf94,0.033536667,0.021746667
LOC105378642,0.07371,0.159633333
GJB5,0.837433333,0.4327
GJB4,0.182033333,0.096593333
GJB3,18.353,0.757066667
GJA4,0.054363333,0.090953333
SMIM12,7.383666667,6.285333333
DLGAP3,0.036746667,0.0207
GPR199P,1.1735,1.35
TMEM35B,16.92333333,13.83333333
ZMYM6,10.10566667,11.76333333
ZMYM1,8.492,7.122666667
SFPQ,101.9033333,67.86333333
ZMYM4,17.84,24.19
ZMYM4-AS1,8.281666667,9.42
KIAA0319L,15.11333333,22.94
NCDN,41.84333333,39.37
TFAP2E,0.613566667,0.694866667
TFAP2E-AS1,0.281566667,0.233233333
PSMB2,79.40333333,46.80333333
C1orf216,14.15666667,12.08
CLSPN,11.37333333,3.272
AGO4,2.96,3.702666667
AGO1,7.586,9.498666667
AGO3,1.741,2.385666667
TEKT2,0.12374,0.156266667
ADPRS,34.22333333,23.97333333
COL8A2,0.185606667,0.781733333
TRAPPC3,44.02,45.33666667
MAP7D1,68.21666667,73.04
THRAP3,62.09,55.18333333
SH3D21,8.915333333,10.33166667
EVA1B,9.547666667,11.47
STK40,18.16666667,18.02333333
LSM10,68.58666667,44.17333333
OSCP1,6.395666667,6.418
SNORA63C,0.548866667,1.178
LOC107984940,0.3752,0.412033333
MRPS15,184.6666667,127.4333333
LITATS1,3.297666667,1.571333333
ZC3H12A,6.203666667,8.245333333
MIR6732,3.877333333,4.715333333
MEAF6,14.98333333,12.06666667
MIR5581,7.453666667,7.558
LOC105378649,2.065,1.979666667
SNIP1,6.992333333,7.549333333
DNALI1,0.5272,0.780766667
GNL2,55.49666667,44.98
AIRIM,8.560333333,7.593333333
CDCA8,91.62666667,26.91
EPHA10,2.215,3.055333333
MANEAL,24.37666667,20.80333333
YRDC,31.41666667,22.52
C1orf122,41.09666667,34.81666667
MTF1,7.449,7.326
INPP5B,4.084,6.066666667
LOC105378651,0.2647,1.0143
SF3A3,105.7366667,61.70666667
FHL3,21.84,31.05
UTP11,40.69,25.27333333
POU3F1,0.042396667,0.028193333
MIR3659HG,0.08939,0.021276667
RRAGC,19.86,28.75
GJA9-MYCBP,8.366666667,5.232333333
MYCBP,16.98333333,10.485
RRAGC-DT,0.5005,0.621233333
GJA9,0.1883,0.2774
RHBDL2,2.057333333,3.050333333
LOC105378662,1.497833333,2.104666667
AKIRIN1,34.71,30.13666667
NDUFS5,304.5333333,336.4
MACF1,24.72333333,44.01333333
BMP8A,0.925666667,0.891366667
OXCT2P1,0.159766667,0.093766667
PPIEL,2.309,4.539666667
PABPC4,167.7333333,197.9
PABPC4-AS1,125.8666667,149
SNORA55,9.717333333,10.83866667
HEYL,2.167,3.532666667
HPCAL4,2.207,1.209
PPIE,10.46866667,9.453333333
BMP8B,2.104333333,2.258
OXCT2,0.493266667,0.241266667
LOC101929536,0.24062,0.282066667
LINC02811,0.3292,0.815366667
TRIT1,7.132,6.612666667
MYCL,0.6699,2.463
MYCL-AS1,0.4573,1.523666667
MFSD2A,5.014666667,0.996533333
LOC105378669,0.06677,0.095146667
CAP1,137.2,116.8533333
PPT1,117.6,107.4966667
RLF,13.53,12.83666667
ZMPSTE24,45.61666667,33.3
COL9A2,0.377333333,1.229666667
SMAP2,21.72,18.03666667
ZFP69B,2.559333333,4.350333333
ZFP69,5.339333333,3.441666667
EXO5-DT,2.267,2.235666667
EXO5,11.14,7.039666667
ZNF684,3.219333333,2.003
RIMS3,1.729666667,2.798
LOC105378675,0.06963,0.055693333
NFYC-AS1,2.331666667,1.887666667
NFYC,15.35333333,10.54333333
KCNQ4,0.157533333,0.483633333
CITED4,3.44,2.449333333
CTPS1,39.26,18.99
SLFNL1-AS1,1.455133333,1.644
SLFNL1,1.022066667,0.7833
SCMH1,12.72,16.29666667
FOXO6,2.278,5.736333333
FOXO6-AS1,0.957066667,0.781466667
LOC105378678,0.493966667,2.649
EDN2,1.615233333,62.03333333
HIVEP3,2.172333333,1.657333333
FOXJ3,20.89666667,20.36
RIMKLA,0.016189333,0.152263333
ZMYND12,0.606866667,1.211
CCDC30,0.7213,0.825
PPCS,15.01,14.70333333
PPIH,14.32666667,7.624
YBX1,408.1666667,396.3
P3H1,33.54333333,58.97
C1orf50,2.635,3.318666667
TMEM269-DT,0.873,1.462666667
TMEM269,0.514233333,0.6995
LOC107984946,0.8494,0.690433333
SVBP,11.73,13.58333333
ERMAP,6.376666667,10.14833333
ZNF691,4.423,5.148666667
LOC339539,0.030166667,0.05931
SLC2A1,172.2333333,196.7
SLC2A1-DT,2.794666667,4.572666667
EBNA1BP2,254.5666667,177.8
MIR6733,4.082,6.853
CFAP57,0.439633333,0.758566667
LOC105378685,0.109456667,0.202033333
TMEM125,0.210143333,0.412266667
C1orf210,3.706666667,0.13167
MPL,0.302466667,0.303
CDC20-DT,2.188666667,1.387333333
CDC20,464.8333333,158.5666667
ELOVL1,131.8,125.7666667
MIR6734,5.869,4.295666667
LOC112268225,0.308266667,0.364233333
MED8,40.72,41.08333333
MED8-AS1,21.58666667,21.12333333
SZT2,9.221333333,10.78833333
SZT2-AS1,6.649333333,7.661666667
MIR6735,2.98,1.85
HYI,17.85,16.42666667
PTPRF,133.5666667,187.0666667
KDM4A,21.03,38.17666667
KDM4A-AS1,7.345333333,10.13
ST3GAL3,2.43,4.576333333
ARTN,38.39,19.34333333
LINC02918,2.157333333,1.721333333
LOC101929609,5.823666667,5.855
IPO13,24.96333333,25.61666667
DPH2,48.24333333,40.84
ATP6V0B,59.76666667,46.01333333
B4GALT2,57.52,59.24666667
CCDC24,9.835666667,6.798333333
SLC6A9,12.23333333,19.26
LOC107984948,2.280333333,1.596333333
KLF17,2.393333333,3.150333333
DMAP1,15.43666667,20.05666667
ERI3,80.05,71.06333333
ERI3-IT1,1.991666667,2.418
RNF220,11.31666667,10.45
LOC107984950,7.361333333,6.602333333
TMEM53,2.843333333,2.705333333
SNORD145,1.6207,0.3363
ARMH1,0.229466667,1.290233333
LOC105378690,0.406066667,1.331466667
RNU5D-1,2.502,1.172233333
KIF2C,60.91,20.22
SNORD160,6.577,1.121166667
RPS8,1262,1588.666667
SNORD55,36.61333333,50.39
SNORD46,11.52533333,12.54466667
SNORD38A,9.826333333,21.12
SNORD38B,12.48,13.458
BEST4,0.142033333,0.3009
PLK3,7.406333333,2.533333333
DYNLT4,0.841333333,0.271933333
BTBD19,0.712266667,0.1737
LOC107984952,0.056643333,0.029156667
PTCH2,0.320266667,0.4367
EIF2B3,25.85666667,16.51
HECTD3,36.13333333,30.93666667
UROD,115.2,122.5333333
ZSWIM5,0.160963333,0.4178
LOC105378691,0.150106667,0.129463333
LINC01144,0.1982,0.158666667
HPDL,23.33666667,6.157666667
MUTYH,10.00566667,4.772666667
TOE1,11.08,5.508
TESK2,2.62,3.004
CCDC163,2.929666667,2.697666667
MMACHC,31.30666667,28.07333333
PRDX1,478.9333333,461.2333333
AKR1A1,51.61333333,69.70666667
NASP,107.5,57.65666667
CCDC17,0.7329,0.339433333
GPBP1L1,41.71,47.57333333
RPS15AP10,0.276833333,0.414566667
TMEM69,47.04666667,52.45
IPP,6.699333333,6.368
MAST2,33.42666667,43.94333333
P3R3URF-PIK3R3,3.769333333,9.029666667
PIK3R3,3.867333333,9.094
LOC101929626,1.4913,0.766233333
TSPAN1,3.498,2.492666667
POMGNT1,36.75666667,36.35666667
LURAP1,0.211866667,0.118773333
RAD54L,27.32666667,10.54333333
LRRC41,30.26666667,40.20333333
UQCRH,267.4666667,241.5666667
NSUN4,10.45266667,7.739333333
FAAH,16.33,14.91
FAAHP1,2.376,3.089
LINC01398,0.6831,0.452
DMBX1,3.077,0.182833333
MKNK1-AS1,2.429666667,2.308333333
MKNK1,4.315333333,4.407
MOB3C,4.249,4.315
LOC105378697,0.021776667,0.0414
ATPAF1,51.11666667,52.18333333
TEX38,0.03741,0.128483333
EFCAB14-AS1,17.99333333,14.67
EFCAB14,40.32,37.66
LOC105378698,2.049666667,1.943333333
LOC105378699,0,0.1104
CYP4B1,0.016326667,0.158666667
CYP4X1,2.113333333,20.80333333
CYP4Z1,0.032856667,0.17369
LOC105378701,0.221433333,0.400466667
LINC00853,0.5417,0.414163333
PDZK1IP1,0.108733333,4.21
TAL1,0.07342,0.190033333
STIL,21.2,7.358
CMPK1,66.6,71.47333333
LINC01389,3.808666667,2.216666667
FOXE3,0.040663333,0.00993
FOXD2-AS1,3.569666667,2.701
FOXD2,0.493066667,0.3144
TRABD2B,0.3254,0.580433333
LINC02794,0.01846,0.0607
