ala_L[c]
arg_L[c]
asn_L[c]
asp_L[c]
cys_L[c]
gln_L[c]
glu_L[c]
gly[c]
his_L[c]
ile_L[c]
leu_L[c]
lys_L[c]
met_L[c]
phe_L[c]
pro_L[c]
ser_L[c]
thr_L[c]
trp_L[c]
tyr_L[c]
val_L[c]
damp[c]
dcmp[c]
dgmp[c]
dtmp[c]
cmp[c]
gmp[c]
ump[c]
amp[c]
glygn2[c]
sphmyln_hs[c]
chsterol[c]
xolest_hs[c]
mag_hs[c]
dag_hs[c]
pail_hs[c]
pe_hs[c]
ps_hs[c]
pchol_hs[c]
lpchol_hs[c]
pa_hs[c]
hdcea[c]
hdca[c]
ocdcea[c]
ocdca[c]
ptrc[c]
spmd[c]
sprm[c]
gthrd[c]
nad[c]
nadp[c]
paps[c]
thbpt[c]
crn[c]
atp[c]
adp[c]
pi[c]
h2o[c]
h[c]
q10[m]
clpn_hs[c]
