ids,growth,model
55907_AT1,359.90742526645016,Epithelial CSM
9583_AT1,359.90742526645016,Epithelial CSM
6550_AT1,359.90742526645016,Epithelial CSM
762_AT1,359.90742526645016,Epithelial CSM
1337_AT1,359.9074252664507,Epithelial CSM
220_AT1,359.90742526645016,Epithelial CSM
10606_AT1,359.90742526645,Epithelial CSM
8566_AT1,359.90742526645016,Epithelial CSM
22934_AT1,355.8175681611495,Epithelial CSM
4710_AT1,359.9074252664503,Epithelial CSM
27068_AT3,359.90742526645005,Epithelial CSM
4907_AT1,359.90742526645005,Epithelial CSM
1119_AT2,359.90742526645005,Epithelial CSM
8671_AT1,359.90742526645005,Epithelial CSM
6713_AT1,359.90742526645005,Epithelial CSM
132_AT2,359.90742526645005,Epithelial CSM
8527_AT1,359.90742526645005,Epithelial CSM
123096_AT1,359.90742526645005,Epithelial CSM
93034_AT1,359.90742526645005,Epithelial CSM
1339_AT1,359.90742526645005,Epithelial CSM
54682_AT1,359.90742526645005,Epithelial CSM
1350_AT1,359.90742526645005,Epithelial CSM
1036_AT1,359.90742526645005,Epithelial CSM
84735_AT1,359.90742526645005,Epithelial CSM
51606_AT3,359.90742526645005,Epithelial CSM
29968_AT2,359.90742526645005,Epithelial CSM
7298_AT1,359.90742526645005,Epithelial CSM
4538_AT1,359.90742526645016,Epithelial CSM
1351_AT1,359.90742526644976,Epithelial CSM
3156_AT1,359.90742526645,Epithelial CSM
3155_AT1,359.90742526645,Epithelial CSM
10449_AT1,359.90742526645,Epithelial CSM
271_AT1,359.90742526645,Epithelial CSM
9380_AT1,359.90742526645,Epithelial CSM
197257_AT1,359.90742526645005,Epithelial CSM
284004_AT1,359.90742526645005,Epithelial CSM
4860_AT1,359.90742526645005,Epithelial CSM
127124_AT1,359.90742526645005,Epithelial CSM
55856_AT1,359.90742526645005,Epithelial CSM
1375_AT2,359.90742526645005,Epithelial CSM
4953_AT1,359.90742526645005,Epithelial CSM
1841_AT1,359.90742526645005,Epithelial CSM
5860_AT1,359.90742526645016,Epithelial CSM
54407_AT1,359.90742526645005,Epithelial CSM
2937_AT1,359.90742526645005,Epithelial CSM
204_AT1,359.90742526645005,Epithelial CSM
593_AT1,359.90742526645005,Epithelial CSM
1607_AT2,359.90742526645005,Epithelial CSM
2879_AT1,359.90742526645005,Epithelial CSM
5832_AT1,359.90742526645005,Epithelial CSM
7360_AT2,359.90742526645005,Epithelial CSM
2739_AT1,359.90742526645005,Epithelial CSM
125206_AT1,359.90742526645005,Epithelial CSM
5313_AT1,359.90742526645005,Epithelial CSM
7498_AT1,359.90742526645005,Epithelial CSM
132158_AT1,359.90742526645005,Epithelial CSM
64849_AT2,359.90742526645005,Epithelial CSM
292_AT1,359.90742526645005,Epithelial CSM
6489_AT1,359.90742526645005,Epithelial CSM
8402_AT1,359.90742526645005,Epithelial CSM
5634_AT1,359.90742526645005,Epithelial CSM
646486_AT1,359.90742526645005,Epithelial CSM
8170_AT1,359.90742526645005,Epithelial CSM
9550_AT1,359.90742526645005,Epithelial CSM
6652_AT1,359.90742526645005,Epithelial CSM
3074_AT1,359.90742526645005,Epithelial CSM
6470_AT1,359.90742526645005,Epithelial CSM
6515_AT1,359.90742526645005,Epithelial CSM
160728_AT1,310.82914000284336,Epithelial CSM
26289_AT1,359.90742526645016,Epithelial CSM
25902_AT1,359.90742526645,Epithelial CSM
10993_AT1,359.90742526645,Epithelial CSM
2356_AT1,359.90742526645,Epithelial CSM
8875_AT2,359.90742526645,Epithelial CSM
516_AT2,359.90742526645,Epithelial CSM
6610_AT1,359.90742526645,Epithelial CSM
4524_AT1,359.90742526645,Epithelial CSM
471_AT1,359.9074252664511,Epithelial CSM
245973_AT1,359.90742526645005,Epithelial CSM
6563_AT1,359.90742526645005,Epithelial CSM
64850_AT1,359.90742526645005,Epithelial CSM
23545_AT1,359.90742526645005,Epithelial CSM
2799_AT1,359.90742526645005,Epithelial CSM
54898_AT1,359.90742526645005,Epithelial CSM
6549_AT1,359.90742526645005,Epithelial CSM
4363_AT1,359.90742526645005,Epithelial CSM
10020_AT1,359.90742526645005,Epithelial CSM
349565_AT1,359.90742526645005,Epithelial CSM
9377_AT1,359.90742526645005,Epithelial CSM
51004_AT1,359.90742526645,Epithelial CSM
6520_AT1,359.90742526645,Epithelial CSM
513_AT2,359.90742526645,Epithelial CSM
2027_AT1,359.90742526645,Epithelial CSM
4702_AT1,359.90742526645,Epithelial CSM
526_AT1,359.90742526645016,Epithelial CSM
10941_AT1,359.90742526645016,Epithelial CSM
7358_AT1,359.90742526645016,Epithelial CSM
10864_AT1,359.90742526645005,Epithelial CSM
51_AT1,359.90742526645005,Epithelial CSM
27068_AT1,359.90742526645005,Epithelial CSM
54658_AT1,359.90742526645005,Epithelial CSM
5106_AT1,359.90742526645005,Epithelial CSM
5471_AT1,359.90742526645005,Epithelial CSM
158_AT2,359.90742526645005,Epithelial CSM
1103_AT4,359.90742526645005,Epithelial CSM
114971_AT1,359.90742526645005,Epithelial CSM
79644_AT1,359.90742526645005,Epithelial CSM
3030_AT1,359.9074252664499,Epithelial CSM
130752_AT1,359.90742526645005,Epithelial CSM
1103_AT3,359.90742526645005,Epithelial CSM
3417_AT1,359.90742526645005,Epithelial CSM
27165_AT1,359.90742526645005,Epithelial CSM
645_AT1,359.90742526645005,Epithelial CSM
