,ids,growth,status
130,{'r2104'},286.2899973710398,optimal
131,{'4HBZCOAFm'},286.2899973710398,optimal
132,{'CYSTYRASNr'},286.2899973710398,optimal
133,{'RE1521X'},286.2899973710398,optimal
134,{'EX_leuktrB4_e'},286.2899973710398,optimal
135,{'EX_asn__L_e'},286.2899973710398,optimal
136,{'SMO'},286.2899973710398,optimal
137,{'NACHEXA3ly'},286.2899973710398,optimal
138,{'SFGTHi'},286.2899973710398,optimal
139,{'S3TASE1ly'},286.2899973710398,optimal
140,{'PDX5POi'},286.2899973710398,optimal
141,{'EX_4tmeabutn_e'},286.2899973710398,optimal
142,{'PTRCARGte'},286.2899973710398,optimal
143,{'UGT1A4r'},286.2899973710398,optimal
144,{'GluForTx'},286.2899973710399,optimal
145,{'PRAIS'},286.2899973710399,optimal
146,{'HMGCOAtm'},286.2899973710399,optimal
147,{'PRASCSi'},286.2899973710399,optimal
148,{'KHK'},286.2899973710399,optimal
149,{'r1143'},286.2899973710399,optimal
150,{'r0788'},286.2899973710399,optimal
151,{'GRTTx'},286.2899973710399,optimal
152,{'r2313'},286.2899973710399,optimal
153,{'ASNPHEASPr'},286.2899973710399,optimal
154,{'CO2tp'},286.2899973710399,optimal
155,{'SK_hdca_c'},286.2899973710399,optimal
156,{'EX_HC01609_e'},286.2899973710399,optimal
157,{'FRDPtcr'},286.2899973710399,optimal
158,{'EX_andrstrn_e'},286.2899973710399,optimal
159,{'C110CPT2m'},286.2899973710399,optimal
160,{'DHFRim'},286.2899973710399,optimal
161,{'H2O2tp'},286.2899973710399,optimal
162,{'HMR_2851'},286.28999737103896,optimal
163,{'EX_C05770_e'},286.28999737103896,optimal
164,{'ACTLMO'},261.7508547392321,optimal
165,{'RE2112R'},286.2899973710398,optimal
166,{'EX_so3_e'},286.2899973710399,optimal
167,{'GLYSARCNc'},286.2899973710399,optimal
168,{'GALKr'},286.2899973710399,optimal
169,{'LTHSTRLtr'},278.1102831604383,optimal
170,{'SACCD3m'},286.2899973710398,optimal
171,{'r0940'},286.28999737104624,optimal
172,{'GALSIDEtl'},286.2899973710398,optimal
173,{'r0409'},286.2899973710398,optimal
174,{'ESTRIOLGLCtr'},286.2899973710398,optimal
175,{'HMR_1540'},286.2899973710398,optimal
176,{'EBP2r'},286.2899973710398,optimal
177,{'PROTEIN_BS'},286.2899973710398,optimal
178,{'MDRPD'},286.2899973710398,optimal
179,{'HACD4m'},286.2899973710398,optimal
180,{'G6Pter'},286.2899973710398,optimal
181,{'GLCNte'},237.21171210743307,optimal
182,{'NADPHtxu'},286.2899973710398,optimal
183,{'DM_kynate_c'},286.2899973710398,optimal
184,{'DHCR243r'},286.2899973710398,optimal
185,{'r0999'},286.2899973710398,optimal
186,{'SK_ala__L_c'},286.2899973710398,optimal
187,{'DAGt'},286.2899973710398,optimal
188,{'FADH2tru'},286.2899973710398,optimal
189,{'q10tm'},286.2899973710398,optimal
