Reaction_ID,Confidence_Level
EX_5adtststerone_e,-1
EX_5fthf_e,-1
EX_5mthf_e,-1
2AMADPTm,0
2OXOADPTm,0
34DHPHEt,0
4HBZCOAFm,-1
4HBZFm,-1
4MOPt2im,-1
5ADTSTSTERONEGLCtr,-1
5ADTSTSTERONEte,-1
5FTHFt2_1,1
A4GALTc,1
AACTtm,-1
ABTArm,2
ABUTt2rL,2
ACACT10m,1
ACETONEt2,1
ACGAMK,2
ACGAMPM,2
ACGAMtly,-1
ACNML,-1
ACOAO7p,3
ACONTm,2
ADEt,1
ADK3,1
ADK3m,2
ADSL2r,1
AGTim,0
AHANDROSTANGLCte,2
AIRCr,3
AKGMALtm,1
ALASm,0
ALCD22_D,0
ALCD2y,2
ALR2,1
AMETt2m,1
AMPDA,0
ANDRSTRNGLCte,2
ANDRSTRNGLCtr,-1
ANDRSTRNtr,-1
ASNNm,0
ASNS1,1
ASPGLUm,1
ASPTAm,2
BILGLCURte,2
ATPasel_1,0
C160CPT1,0
C160CPT2,1
C161CPT12,0
C180CPT1,0
C226COAtx,-1
C226CPT1,0
C226CPT2,1
C3STDH1r,1
C4STMO1r,2
CATm,2
CATp,2
CDIPTr,2
CHLP,0
CHOLK,0
CITRtm,0
CITtam,1
CO2tm,-1
COAtim,2
COQ3m,0
COQ6m,1
COQ7m,1
CRNCAR3tp,-1
CRNt,2
CRNtuNa,2
CSAPASEly,-1
CSCPASEly,-1
CSEPASEly,-1
CSNAT2m,2
CSNAT2x,2
CSNAT3x,2
CSNATm,2
CSNATp,2
CSPG_Atly,-1
CSPG_Ctly,-1
CSPG_Dtly,-1
CYSO,0
CYStec,1
CYTDt,1
CYTK12,3
CYTK14,3
CYTK3,1
CYTK4,1
CPK1,3
CYTK7,3
DAG_HSter,-1
DAGK_hs,0
DATPtn,-1
DCTPtn,-1
DCYTt,1
DECDPtm,-1
DEDOLP2_L,-1
DGSNt,1
DHDPBMTm,0
DHFtm,-1
DIGALSIDEtl,-1
D_LACt2,0
DM_dem2emgacpail_prot_hs_r,-1
DM_kdn_c,-1
DM_Ser_Gly_Ala_X_Gly_l,-1
DMATTx,2
DMHPTCRNCPT2,-1
DMHPTCRNte,-1
C110CPT2m,-1
DNDPt20m,0
DNDPt21m,0
DNDPt28m,0
DNDPt38m,0
DOLPMT_U,1
DOLP_Uter,-1
DURIt,1
DUTPDPm,1
ECOAH9m,2
ESTRIOLGLCte,2
ESTRIOLtr,-1
EX_10fthf7glu_e,-1
EX_34dhphe_e,-1
EX_7dhf_e,-1
EX_7thf_e,-1
EX_acetone_e,-1
EX_ahandrostanglc_e,-1
EX_andrstrn_e,-1
EX_andrstrnglc_e,-1
EX_arach_e,-1
EX_chol_e,-1
EX_cholate_e,-1
EX_chtn_e,-1
EX_crn_e,-1
EX_cspg_c_e,-1
EX_cspg_e_e,-1
EX_dag_hs_e,-1
EX_dhf_e,-1
EX_dmhptcrn_e,-1
EX_dopa_e,-1
EX_ha_e,-1
EX_hspg_e,-1
EX_imp_e,-1
EX_lac__D_e,-1
EX_cysi__L_e,-1
EX_leuktrB4_e,-1
EX_lnlc_e,-1
EX_ocdca_e,-1
EX_octa_e,-1
EX_phyt_e,-1
EX_ps_hs_e,-1
EX_strdnc_e,-1
EX_tststeroneglc_e,-1
FACOAL170,2
FACOAL80,3
FADH2tru,-1
FADtru,-1
FALDH,2
FAOXC11,2
FAOXC16080x,1
FAOXC180x,1
FAOXC18480m,1
FAOXC200180x,1
FAOXC2051843m,1
FAOXC2051843x,1
FAOXC226205m,1
FATP1t,1
FORMCOAtx,-1
FORtr,-1
FRDPtc,-1
FTHFDH,0
FUMAC,1
FUMtm,1
G5SDym,3
G6PDH2er,1
GACPAILter,-1
GALSIDEtl,-1
GALtly,-1
GARFT,2
GCCam,0
GFUCS,1
GGH_7THFe,1
GGLUCT,2
GHMT2rm,1
GLAl,1
GLCAASE4ly,2
GLCAASE6ly,2
GLCAASE7ly,2
GLCAASE8ly,0
GLCAASE9ly,2
GLCNACASE5ly,1
GLGNS1,0
GLNtm,-1
GLPASE1,0
GLPASE2,0
GLYBt4_2_r,0
GLYt7_211_r,1
GLYtm,-1
GNDer,2
GPIDA2er,2
GTHS,1
HCO3Em,0
H2O2t,-1
H2O2tm,-1
H2Oter,-1
H3MTer_U,1
H4ET3er,1
H4ETer,2
H6ET3er,1
HACD1x,1
HACD9m,1
HAS1,0
HAtly,-1
HBZOPT10m,1
HDD2COAtx,-1
HMGCOASm,1
HMGCOAtm,-1
HMGCOAtx,-1
HMGLm,0
HMGLx,1
HPDCACRNCPT1,0
HPDCACRNCPT2,1
HS2ly,2
HSAT2ly,-1
HSAT3ly,-1
HSD17B42x_1,3
HSD3B7P,1
HSPASEly,-1
Htx,-1
ICDHyr,2
IDOAASE3ly,1
IDOURtly,1
INOSTO,0
INSTt2,1
INSTt4,3
IPDPtx,-1
KCC2t,2
KHK,0
LALDO,2
LEUTAm,1
TTCCOAtx,-1
LINKDEG1ly,-1
LINKDEG2ly,-1
LINKDEG3ly,-1
L_LACtcm,0
LSTO1r,2
LTDCL,0
MACACI,1
MALTe,1
MALtm,1
MALTt1r,2
MDRPD,-1
ME1m,2
MTHFD2m,2
NACHEX1ly,2
NACHEX27ly,2
NACHEXA3ly,2
NACHEXA4ly,2
NACHEXA5ly,2
NACHEXA7ly,2
NADPtxu,-1
NDP8,1
NDPK4m,2
NDPK4n,0
NDPK6m,1
NDPK7m,2
NDPK7n,0
NDPK9n,0
NICRNS,-1
NTD1m,0
NTD5m,0
O16G2e,0
O2Stm,-1
O2Stn,-1
O2ter,-1
O2tn,-1
OCBTm,0
ORNt4m,0
P5CRm,2
PCHOLP_hs,1
PCRNtm,1
PDHm,0
PEROXx,1
PGCD,1
PGLer,3
PGLYCt,-1
PHYHx,1
PHYTt,-1
PIACGT,1
PPAer,0
PPAm,2
PPItr,-1
PRASCSi,3
PRISTCOAtx,-1
PRISTtx,-1
PROD2m,0
PROSTGE2t2,0
PYDXPP,1
PYNP2r,0
PYRt2p,1
S2TASE1ly,3
S2TASE2ly,3
S2TASE5ly,-1
S3TASE3ly,-1
S4TASE1ly,1
S4TASE2ly,1
S6TASE1ly,3
S6TASE2ly,3
S6TASE3ly,3
SACCD3m,2
SADT,1
SBTD_D2,2
SBTR,1
SERLYSNaex,0
SFGTHi,2
SMS,2
SO4t4_2,1
SO4tl,-1
SPODMe,0
SQLEr,2
SQLSr,2
STRDNCCPT1,0
STRDNCt,-1
SUCCtp,-1
SUCD1m,1
SULFOX,1
THFtm,-1
THYMDtm,2
TMABADH,3
TMLYSOX,1
TMNDNCCPT1,0
TRDR2,2
TSTSTERONEGLCte,2
TSTSTERONEGLCtr,-1
TSTSTERONEt,-1
TSTSTERONEtr,-1
UDPGD,3
UGT1A10r_1,0
UGT1A4r,0
UGT1A8r,0
UGT1A9r,0
UMPK3,3
UMPK4,3
UMPK7,3
URIt,1
UROLACer,-1
XOLESTte,-1
XYLK,1
XYLUR,1
EX_4abutn_e,-1
EX_ahdt_e,-1
EX_isomal_e,-1
EX_HC00250_e,-1
EX_HC01361_e,-1
GDR,2
r0027,1
GTHRDH_syn,0
SPTc,0
PYK2,0
SSALxm,1
DHFR2i,1
r0246,1
r0249,1
GMPR,0
GMPS,2
ACOAR7m,1
r0358,0
PYDXNO,2
r0390_1,0
