Reaction_ID,Confidence_Level
PHETHPTOX,0
r0407,0
r0408,3
r0409,3
r0437,1
r0463,2
RNTR2,1
r0480,-1
HMGCOAR,2
r0514,1
THFATm,1
BETALDHx,2
r0568,2
AASAD3,2
HPROxm,2
r0627,1
r0633,1
ACACT7m,1
PRAIS,2
r0698,1
r0716_1,1
HACD6m,1
ACACT5m,1
r0730,1
r0731,1
r0774,1
LNS14DMr,2
r0782,1
r0788,-1
r0789,-1
r0801,3
r0819,1
r0822,1
r0840,-1
r0841,-1
r0885,1
r0892,-1
MALICITtm,1
r0915,1
r0926,-1
r0940,-1
r0954,1
r0962,-1
r0983,0
r0984,0
CITt4_1,0
r1117,-1
r1134,-1
r1143,0
r1163,0
r1253,0
r1254,0
PPCOAtm,-1
r1292,-1
r1400,-1
r1421,-1
r1497,0
r1671,3
r2080,1
r2081,1
r2093,1
r2094,1
r2101,1
r2104,1
r2111,1
r2150,0
r2193,0
r2202,0
r2313,1
r2317,1
RE0512X,1
RE0568C,3
G6Pt6er,1
r2374,1
r2375,1
r2502,1
r2505,2
r2385,1
r2516,1
r2520,1
EX_so3_e,-1
r2419,1
RE0452M,-1
RE0453M,2
RE1518X,2
RE1519X,2
RE1520X,1
RE1522X,1
RE1526X,1
RE1527X,1
RE1530M,2
RE1533X,2
RE1534X,2
RE1050E,0
RE2112R,0
RE1233C,-1
RE2666C_1,-1
RE2346C,-1
RE1516X,2
PYK6,3
RE2998M,3
RE3076X,-1
RE3411C_1,-1
RE3413C,-1
RE3628M,1
EX_citr__L_e,-1
EX_cynt_e,-1
EX_CE5854_e,-1
EX_CE5853_e,-1
EX_CE1925_e,-1
C162ACBP,2
PIt9,0
ACRNtp,1
BIOMASS_reaction,3
3HBCOARc,2
C120CPT1,0
C51CPT1,0
C12DCe,-1
C60CPT1,0
C6COAt,2
C80CPT1,0
EX_c12dc_e,-1
FAOXC16DCC14DCx,1
FAOXC16DCr,1
FAOXC123m,1
FAOXC183C163m,3
EX_c6crn_e,-1
EX_c8crn_e,-1
FAOXC101C8x,1
FAOXC101x,1
FAOXC102C81m,1
FAOXC102m,1
FAOXC103C102m,1
FAOXC10C10OHm,2
FAOXC61m,1
FAOXC6C4x,1
FAOXC12DCx,2
FAOXC81C61m,1
FAOXC8C6m,1
TIGCRNe,-1
FAOXC143C123m,3
34DHPHELAT1tc,1
FAOXTC162TC142m,3
FAOXTC182TC162m,3
HDCACBP,2
HEXDIACtr,-1
HEXDICOAACBPx,2
HIVCACBP,2
HTDCACBP,2
IVCOAACBP,2
IVCRNe,-1
LGNCCOAtcx_1,0
LEULEULAPc,2
LEULEUPEPT1tc,0
LINOFATPtc,1
ORNLEUrBATtc,0
EX_leuleu_e,-1
PHEyLATthc,1
EX_q10h2_e,-1
3HCO3_NAt,0
FRDPtcr,-1
G6PDH2c,1
CHSTEROLtrc,-1
CRNtp,-1
Coqe,-1
DGTPtm_cho,-1
DSREDUCr,3
LACLt,-1
DTMPKm,1
EX_4hpro_LT_e,-1
SK_5HPET_c,-1
q10h2tc,-1
34HPPte,-1
EX_dcmp_e,-1
4HPRO_LTte,-1
5MTAte,-1
5OXPROt,-1
AICARte,-1
DM_Lcystin_c,-1
EX_34hpp_e,-1
EX_glyald_e,-1
PPItm,-1
Q10H2e,-1
EX_aicar_e,-1
IDOURte,-1
EX_idour_e,-1
TYRB0AT3tc,0
LKYNRtr,1
GALt4,0
GLCt4,0
EX_Lkynr_e,-1
ETHAMPtr,-1
EX_3pg_e,-1
GLCURtr,-1
3PGtr,-1
EX_2pg_e,-1
ACRNte,2
PCRNte,2
STCRNte,2
EX_acrn_e,-1
EX_lneldccrn_e,-1
BIOMASS_maintenance,3
BIOMASS_maintenance_noTrTr,3
7DHCHSTEROLtd,-1
H2OGLYAQPt,0
EX_C04717_e,-1
LGNCFATPtc,1
EX_hexdiac_e,-1
EX_lthstrl_e,-1
EX_mev__R_e,-1
GLYCLTt,-1
FORGLUt,-1
EX_glyclt_e,-1
EX_ileargile_e,-1
EX_leuasnasp_e,-1
EX_thrthrarg_e,-1
EX_lysargleu_e,-1
EX_argarglys_e,-1
EX_trpglngln_e,-1
EX_trptyrtyr_e,-1
EX_tyrcysthr_e,-1
EX_tyrphetyr_e,-1
EX_tyrvalmet_e,-1
EX_proargcys_e,-1
EX_prohistyr_e,-1
ARGARGLYSt,0
ARGARGMETt,0
ASNASNARGt,0
ASPMETASPt,0
ASPPROLYSt,0
ASPVALASNt,0
ILEASNHISt,0
LEUASNASPt,0
EX_argtyrval_e,-1
LYSARGLEUt,0
LYSLYSLYSt,0
LYSTYRILEt,0
EX_asnasnarg_e,-1
THRILEARGt,0
TRPASPASPt,0
TRPGLNGLNt,0
EX_asncyscys_e,-1
PROHISTYRt,0
TYRPHETYRt,0
TYRVALMETt,0
EX_asnpheasp_e,-1
VALLYSTYRt,0
EX_asntyrthr_e,-1
ILEARGILEr,-1
ARGARGLYSr,-1
ARGARGMETr,-1
ASNASNARGr,-1
LEUTYRTYRr,-1
LYSLYSLYSr,-1
ASPMETASPr,-1
ASPPROLYSr,-1
ASPVALASNr,-1
PROARGCYSr,-1
CYSTYRASNr,-1
GLNASNGLNr,-1
EX_aspvalasn_e,-1
PROHISTYRr,-1
EX_cystyrasn_e,-1
EX_glnasngln_e,-1
ODECRNtr,-1
PMTCRNtr,-1
SERGLYGLUr,-1
THRASNTYRr,-1
THRILEARGr,-1
HXAt3,-1
EX_hxa_e,-1
TYRCYSTHRr,-1
TYRVALMETr,-1
SK_for_c,-1
EX_f1a_e,-1
r2444,1
EX_acgal_e,-1
UNK3,-1
AMPTASECG,2
ARGN,0
ASPTA,1
SK_glygn2_c,-1
BPNT,1
SK_Tyr_ggn_c,-1
SK_c226coa_c,-1
SK_lnlccoa_c,-1
CTPS1,2
CYSTGL,0
CYSTS,0
SK_pmtcoa_c,-1
FTHFCL,0
SK_pydx_c,-1
DHFR,1
SK_pydxn_c,-1
DHPR,2
DMATT,2
DTMPK,1
EX_acac_e,-1
GALUi,2
GK1,2
SK_thf_c,-1
GLYLEUHYDROc,0
GLYLEUPEPT1tc,0
GLYPROPRO1c,1
EX_asp__L_e,-1
EX_gal_e,-1
EX_glu__L_e,-1
EX_glyb_e,-1
EX_glyleu_e,-1
GRTT,2
GUAPRT,1
HCO3E,0
EX_h2o_e,-1
EX_lac__L_e,-1
EX_leu__L_e,-1
EX_lys__L_e,-1
EX_o2_e,-1
HMBS,1
IMPD,2
LEUTA,2
EX_orn_e,-1
EX_pi_e,-1
MAN1PT2,1
SK_tmndnccoa_c,-1
SK_vitd3_c,-1
EX_succ_e,-1
EX_thymd_e,-1
EX_urea_e,-1
EX_uri_e,-1
NDPK4,0
NDPK6,0
UDPG4E,1
DXTRNt,-1
O2t,-1
EX_dxtrn_e,-1
PGM,1
UREAt,0
PGMT,2
URIDK2r,-1
PPBNGS,2
PROt2r,0
ASNN,0
PRPPS,0
r0398,2
PUNP3,1
PUNP5,1
EX_gly_e,-1
RNDR2,1
RNDR3,1
RNDR4,1
EX_gln__L_e,-1
EX_phe__L_e,-1
EX_tyr__L_e,-1
TALA,2
EX_arg__L_e,-1
TKT1,0
EX_for_e,-1
EX_nh4_e,-1
EX_ac_e,-1
TPI,3
UAGDP,1
AICART,2
AMANK,2
SK_dchac_c,-1
CITL,0
MALT,1
CYTK1,3
MI1PP,1
ACACT1r,1
EX_glyc_e,-1
ACONT,2
PFK,1
ACS,2
PRFGS,1
PYDXNK,3
PYK,0
THRD_L,1
TMDS,0
EX_ptrc_e,-1
GALT,1
GLYK,0
XYLt,2
GLYALDDr,1
ARGORNt7,3
EX_pyr_e,-1
IMPC,2
PYRt2,1
EX_4abut_e,-1
EX_ade_e,-1
EX_etoh_e,-1
ABUTt2r,2
ETOHt,-1
EX_acald_e,-1
FTCD,0
T4HCINNMte,0
AHANDROSTANte,1
GLCRt1,0
2OBUTt,2
MLTHFte,1
EX_ahandrostan_e,-1
PTRCARGte,1
MLTHFte2,1
T4HCINNMtm,-1
DSMSTEROLtr,-1
DSMSTEROLte,-1
EX_T4hcinnm_e,-1
SQLte,-1
EX_trypta_e,-1
EX_CE2006_e,-1
EX_C05769_e,-1
EX_C05770_e,-1
PPBNGte,-1
EX_ppbng_e,-1
UDPG3DOPA,1
DOPA4GLCURt,2
DOPA3GLCURt,2
GLCNte,-1
EX_hdd2crn_e,-1
AACTte,-1
EX_aact_e,-1
GBA2e,2
EX_galgluside_hs_e,-1
FACOAE120,0
HMR_0354,0
HMR_0868,0
HMR_1084,1
HMR_1095,-1
HMR_0873,0
HMR_1465,2
SMO,2
LNSTLS,2
HMR_1479,2
HMR_1502,1
HMR_1503,1
HMR_1505,1
CHLSTI_1,1
DSMSTOLR,3
HMR_1536,2
HMR_1538,2
HMR_1539,2
HMR_1543,1
HMR_1547,1
HMR_1549,1
HMR_1550,1
HMR_1551,1
HMR_1706,3
HMR_0803,1
HMR_2287,1
HMR_2603,0
HMR_2604,1
HMR_2633,0
HMR_2634,0
HMR_2673,0
HMR_2711,0
HMR_2722,0
HMR_2731,0
HMR_3116,2
KAT180_m,1
HMR_3102,2
HMR_3106,-1
HMR_2819,2
HMR_3321,2
HMR_2851,2
HMR_2861,2
HMR_2865,2
HMR_2884,2
ASPT,2
HMR_3915,2
